unique_id,Graduation_year,job_title_alumni,Industry,School,study_level_alumni
1492472,2025,early_others,,SI,1
1492471,2024,early_others,,SLS,1
1492470,2017,early_others,,SBS,1
1492469,2025,early_others,,SCES,0
1492468,2025,early_others,,SI,1
1492467,2025,early_others,,SI,1
1492466,2025,early_others,,SBS,1
1492465,2025,early_others,,SBS,1
1492464,2025,early_others,,SBS,1
1492462,2026,early_others,,SHSS,1
1492461,2025,early_others,,SCES,1
1492460,2025,early_others,,SBS,1
1492459,2025,early_others,,SCES,1
1492458,2025,early_others,,SCES,1
1492457,2025,early_others,,SBS,1
1492456,2015,early_others,,FIT,1
1492455,2025,early_others,,SBS,1
1492453,2025,early_others,,SCES,1
1492452,2025,early_others,,SCES,1
1492451,2025,early_others,,SCES,1
1492450,2025,early_others,,STH,0
1492449,2025,early_others,,SCES,1
1492448,2026,early_others,,SHSS,1
1492447,2005,early_others,,SBS,1
1492445,2025,early_others,,SBS,1
1492444,2025,early_others,,SBS,0
1492443,2025,early_others,,SCES,1
1492442,2025,early_others,,SCES,1
1492441,2025,early_others,,SI,1
1492440,2025,early_others,,SCES,1
1492439,2025,early_others,,SBS,1
1492437,2025,early_others,,SBS,1
1492435,2025,early_others,,SI,1
1492434,2002,early_others,,SCES,1
1492433,2025,early_others,,SBS,1
1492432,2025,early_others,,SCES,1
1492431,2025,early_others,,FIT,1
1492430,2025,early_others,,SI,1
1492429,2025,early_others,,SCES,1
1492428,2025,early_others,,SCES,1
1492427,2025,early_others,,SBS,1
1492426,2025,early_others,,SCES,1
1492425,2025,early_others,,SI,1
1492424,2025,early_others,,SCES,1
1492423,2025,early_others,,STH,1
1492422,2025,early_others,,SBS,1
1492421,2025,early_others,,SBS,0
1492420,2025,early_others,,SCES,1
1492419,2025,early_others,,SBS,1
1492418,2025,early_others,,SCES,1
1492417,2025,early_others,,SBS,1
1492416,2025,early_others,,STH,1
1492415,2025,early_others,,SBS,1
1492414,2026,early_others,,SBS,1
1492413,2025,early_others,,SCES,1
1492412,2025,early_others,,SI,1
1492411,2025,early_others,,SHSS,1
1492410,2025,early_others,,SHSS,1
1492409,2025,early_others,,SHSS,1
1492408,2005,early_others,,SBS,1
1492405,2005,early_others,,SBS,1
1492404,2019,early_others,,SBS,1
1492403,2025,early_others,,SBS,1
1492402,2015,early_others,,FIT,1
1492401,2005,early_others,,FIT,1
1492400,2019,senior_executives,FP,SBS,0
1492398,2018,early_others,,FIT,1
1492397,2007,early_others,FP,SBS,1
1492396,2025,early_others,,SCES,1
1492395,2019,early_others,,SI,1
1492394,2013,early_others,,SBS,1
1492393,2022,early_others,,SBS,1
1492391,2025,early_others,,SBS,1
1492389,2025,early_others,,SHSS,1
1492388,2025,early_others,,FIT,1
1492386,2009,early_others,,SBS,1
1492384,2021,early_others,,SBS,1
1492383,2015,senior_executives,FP,SBS,1
1492382,2025,early_others,,SHSS,1
1492381,1992,early_others,,SI,1
1492379,2025,early_others,,SBS,1
1492378,2025,early_others,,SBS,1
1492377,2025,early_others,,SBS,1
1492376,2025,early_others,,SBS,1
1492375,2025,early_others,,SBS,0
1492374,2019,early_others,,SBS,1
1492373,2024,early_others,,SBS,1
1492370,2005,early_others,,FIT,1
1492369,2025,early_others,,SBS,1
1492367,2024,early_others,PN,SI,1
1492365,2025,early_others,,SBS,0
1492364,2025,early_others,,SLS,1
1492363,2025,early_others,,SBS,1
1492362,2024,early_others,,SCES,1
1492360,2025,early_others,,SBS,1
1492359,1998,senior_executives,FP,SHSS,1
1492358,2025,early_others,,SLS,1
1492357,2025,technical_professional,FP,SCES,0
1492356,2025,early_others,,SBS,0
1492355,2025,early_others,,SHSS,1
1492354,2025,early_others,,SI,0
1492353,2019,early_others,,SCES,1
1492352,2025,early_others,,SCES,0
1492351,2025,early_others,,SBS,1
1492350,2025,early_others,,SCES,1
1492349,2005,early_others,,FIT,1
1492348,2025,senior_executives,,SBS,0
1492347,2025,admin_sales,MT,SBS,1
1492346,2025,admin_sales,,SBS,1
1492345,2025,early_others,,SBS,1
1492344,2025,early_others,,SCES,1
1492342,2019,early_others,,SBS,0
1492341,2021,early_others,,SBS,1
1492338,2022,early_others,,SBS,0
1492337,2024,early_others,,SBS,1
1492336,2020,early_others,,SCES,1
1492335,2021,early_others,,STH,1
1492333,2025,early_others,,SBS,1
1492332,2025,early_others,,SBS,0
1492331,2025,early_others,,SCES,1
1492330,2025,early_others,,SCES,1
1492329,2025,early_others,,STH,1
1492327,2025,early_others,,SLS,1
1492325,2025,early_others,,SCES,1
1492323,2025,early_others,,SCES,1
1492322,2025,early_others,,SBS,1
1492320,2025,senior_executives,MT,SBS,1
1492318,2025,early_others,,SLS,0
1492317,2025,early_others,,SBS,0
1492316,2005,early_others,,SBS,1
1492315,2025,senior_executives,FP,SBS,0
1492313,2023,admin_sales,MT,SBS,1
1492312,2025,early_others,FP,SI,1
1492311,2025,admin_sales,MT,SBS,1
1492310,2025,early_others,,SBS,0
1492309,2025,early_others,FP,SCES,1
1492308,2025,early_others,,SCES,1
1492307,2025,early_others,,SBS,1
1492306,2025,early_others,,SLS,1
1492305,2025,early_others,,SCES,1
1492304,2025,technical_professional,FP,SBS,0
1492303,2014,early_others,,FIT,1
1492302,2025,senior_executives,FP,SBS,1
1492301,2025,early_others,,SBS,1
1492300,2025,early_others,,STH,1
1492297,2025,early_others,,SCES,0
1492296,2025,early_others,,SLS,1
1492295,2025,early_others,,SCES,0
1492294,2025,technical_professional,FP,SLS,1
1492293,2025,admin_sales,PN,SLS,1
1492292,2025,early_others,,SBS,0
1492291,2025,senior_executives,CH,SBS,0
1492290,2025,senior_executives,FP,SBS,0
1492289,2025,admin_sales,FP,SCES,1
1492288,2025,early_others,,SCES,1
1492287,2025,technical_professional,FP,SCES,1
1492286,2025,technical_professional,FP,SCES,1
1492285,2025,early_others,,SCES,0
1492284,2025,early_others,,SLS,1
1492282,2025,technical_professional,FP,SCES,1
1492281,2025,early_others,FP,SCES,1
1492280,2025,admin_sales,FP,SBS,0
1492279,2025,early_others,,SHSS,1
1492278,2025,early_others,,SBS,0
1492277,2025,senior_executives,CH,SBS,0
1492276,2025,technical_professional,FP,SBS,0
1492275,2025,early_others,,SHSS,0
1492274,2025,early_others,,SI,1
